id,codigo,bairro,area_m2,lon,lat,area_km2,bairro_key,populacao,domicilios,v0003,v0004,media_moradores
1,752,CURADO,8255773.76002556,284106.88438289054,9107280.977566062,8.25577376002556,CURADO,16559,7033,7023,10,"2,8"
2,396,DOIS UNIDOS,3118839.774926752,289192.0177584612,9115400.12590137,3.118839774926752,DOIS UNIDOS,31437,12580,12576,4,"2,8"
3,132,AFLITOS,307461.169185802,291010.13775674993,9110768.55222186,0.30746116918580196,AFLITOS,4990,2252,2252,0,"2,5"
4,906,SANCHO,632459.244913296,283832.070608236,9105806.723929273,0.632459244913296,SANCHO,12768,3082,3079,3,"2,7"
5,736,VARZEA,22391160.102449104,282200.16896533465,9109824.754659735,22.391160102449103,VARZEA,70946,31183,31150,33,"2,7"
6,60,COELHOS,421320.59281945653,291752.9442795796,9107734.04996881,0.42132059281945655,COELHOS,5923,2538,2525,13,"2,7"
7,299,PEIXINHOS,339009.81802647165,293151.0915244881,9113120.244813822,0.3390098180264717,PEIXINHOS,2915,1218,1218,0,"2,8"
8,35,SAO JOSE,2486430.1323981504,292140.52622836636,9107105.66491045,2.4864301323981506,SAO JOSE,8876,3906,3898,8,"2,8"
9,27,SANTO ANTONIO,838233.9434930369,292980.71046867967,9108223.04248779,0.8382339434930369,SANTO ANTONIO,447,324,324,0,"2,0"
10,19,RECIFE,3140027.4736043527,294108.2267251405,9109383.88896221,3.1400274736043525,RECIFE,541,224,222,2,"2,7"
11,302,HIPODROMO,304716.2559655733,291939.93386468367,9111685.273597315,0.3047162559655733,HIPODROMO,2091,952,952,0,"2,8"
12,183,ROSARINHO,255200.88309257646,290897.29468055774,9111632.62042848,0.25520088309257644,ROSARINHO,7271,3210,3209,1,"2,6"
13,310,CAMPINA DO BARRETO,538722.7300657794,292598.84435494855,9113317.259680266,0.5387227300657794,CAMPINA DO BARRETO,8757,3508,3508,0,"2,8"
14,442,CASA FORTE,559328.0363074006,288550.6809757373,9111463.63089418,0.5593280363074006,CASA FORTE,6307,2571,2568,3,"2,7"
15,469,PARNAMIRIM,613911.3152803485,289382.59475693124,9111434.120683013,0.6139113152803485,PARNAMIRIM,6954,2957,2957,0,"2,7"
16,418,GUABIRABA,46063553.42573804,284674.44587983517,9119798.9173466,46.063553425738036,GUABIRABA,11095,5149,5146,3,"2,8"
17,43,ILHA JOANA BEZERRA,1163965.6331219506,290730.01572258124,9107394.49532942,1.1639656331219506,ILHA JOANA BEZERRA,12257,4766,4765,1,"2,9"
18,51,CABANGA,799187.2368945961,291183.4922519711,9106340.952047028,0.7991872368945961,CABANGA,1831,835,834,1,"2,7"
19,78,ILHA DO LEITE,257456.29036329535,291239.1733716328,9108012.304400677,0.25745629036329537,ILHA DO LEITE,990,757,755,2,"2,0"
20,639,PAU FERRO,600775.3556707497,282590.1358137777,9118828.943063382,0.6007753556707497,PAU FERRO,89,33,33,0,"3,3"
21,795,MANGUEIRA,309291.7574232037,288340.55007265275,9106723.100611083,0.3092917574232037,MANGUEIRA,7664,3240,3240,0,"2,7"
22,108,SANTO AMARO,3746343.79294357,292866.1016894058,9109927.461787732,3.74634379294357,SANTO AMARO,27103,11661,11629,32,"2,7"
23,86,BOA VISTA,1704616.571084735,291696.69303103123,9108770.867609886,1.704616571084735,BOA VISTA,13147,8328,8266,62,"2,1"
24,124,ESPINHEIRO,760525.821792617,291554.73240481445,9110380.386729103,0.760525821792617,ESPINHEIRO,10741,5069,5066,3,"2,4"
25,140,DERBY,482619.14804541896,290600.3169068052,9109032.925224748,0.48261914804541894,DERBY,1867,865,861,4,"2,5"
26,450,SANTANA,469792.8769871945,288909.5667662073,9110762.915383322,0.4697928769871945,SANTANA,2574,1169,1167,2,"2,5"
27,94,PAISSANDU,371935.4564081289,290812.02100719174,9108165.081220813,0.3719354564081289,PAISSANDU,568,348,348,0,"2,1"
28,914,TOTO,139013.84514483783,283085.33773241215,9106077.547390008,0.13901384514483783,TOTO,2074,880,880,0,"2,8"
29,167,GRACAS,1442259.7763225224,290601.0485895372,9110164.992711157,1.4422597763225224,GRACAS,19694,9071,9065,6,"2,5"
30,655,TORRE,1189278.608205343,289509.9889031589,9110386.162860531,1.1892786082053428,TORRE,20872,9419,9415,4,"2,5"
31,329,ARRUDA,1003686.8645161415,291692.6713704613,9112509.714162473,1.0036868645161414,ARRUDA,12797,5904,5904,0,"2,8"
32,710,ENGENHO DO MEIO,867089.7193572975,285903.84757351823,9108975.926871477,0.8670897193572975,ENGENHO DO MEIO,9849,4058,4050,8,"2,8"
33,353,CAJUEIRO,572914.0580191693,292210.8349242538,9113968.324796619,0.5729140580191693,CAJUEIRO,5062,2311,2311,0,"2,7"
34,671,ZUMBI,405604.49787890475,288675.4367790747,9109365.262626722,0.40560449787890474,ZUMBI,4763,2327,2327,0,"2,5"
35,191,TAMARINEIRA,1012834.6145754029,290323.12621553056,9111830.191451645,1.012834614575403,TAMARINEIRA,13236,5671,5664,7,"2,6"
36,809,BONGI,602876.986584777,288572.2532842149,9107912.430880021,0.6028769865847771,BONGI,7060,2961,2957,4,"2,8"
37,728,CIDADE UNIVERSITARIA,1598721.7743332142,285071.66013749654,9109372.413903076,1.598721774333214,CIDADE UNIVERSITARIA,1819,848,846,2,"2,7"
38,272,TORREAO,195971.50708503326,292427.33273088065,9110765.483245876,0.19597150708503325,TORREAO,1566,732,731,1,"2,5"
39,159,JAQUEIRA,244527.75000381953,290057.37793738424,9111095.02483392,0.24452775000381952,JAQUEIRA,1342,627,627,0,"2,6"
40,841,CACOTE,462276.1191354893,287173.1763916246,9104024.840028375,0.46227611913548927,CACOTE,8738,3698,3698,0,"2,7"
41,213,IPSEP,1769757.422790168,288253.64752023167,9103058.84675688,1.769757422790168,IPSEP,20610,9168,9164,4,"2,7"
42,361,PORTO DA MADEIRA,478129.7892610806,291683.021861153,9114407.044441119,0.47812978926108063,PORTO DA MADEIRA,6495,2673,2673,0,"2,7"
44,221,JORDAO,1562008.9824125199,286607.5589240854,9100184.449611934,1.5620089824125198,JORDAO,20449,8233,8233,0,"2,9"
45,663,PRADO,1281510.2880338063,288770.7730301248,9108559.276802083,1.2815102880338063,PRADO,11412,4915,4907,8,"2,7"
46,590,DOIS IRMAOS,5636068.160258106,285368.7547563099,9114490.107691236,5.636068160258106,DOIS IRMAOS,3026,1313,1311,2,"2,8"
47,647,MADALENA,1803674.5619029268,289697.1757530144,9109212.492962098,1.8036745619029269,MADALENA,25832,11785,11773,12,"2,6"
48,116,SOLEDADE,322415.9302121256,291707.24414374784,9108936.588501714,0.3224159302121256,SOLEDADE,2081,1553,1545,8,"1,9"
49,701,TORROES,1651615.6954021049,286585.1518370011,9108391.111789139,1.6516156954021048,TORROES,31130,12434,12432,2,"2,8"
50,698,IPUTINGA,4361473.95683107,286612.6744190795,9111192.534060802,4.36147395683107,IPUTINGA,49944,21724,21710,14,"2,7"
51,817,SAN MARTIN,2003059.756727515,287406.38612051884,9107529.597060228,2.0030597567275152,SAN MARTIN,23074,9496,9494,2,"2,8"
52,400,PASSARINHO,3926297.833400731,288252.452630371,9117443.561112525,3.926297833400731,PASSARINHO,24306,9764,9763,1,"2,9"
53,868,JARDIM SAO PAULO,2581150.1469351565,285771.4744469894,9106124.42050203,2.5811501469351565,JARDIM SAO PAULO,29996,13160,13160,0,"2,7"
54,850,AREIAS,2416967.99657442,287137.30882459634,9104682.051036647,2.41696799657442,AREIAS,26740,11356,11352,4,"2,8"
55,892,TEJIPIO,984454.3264670983,284261.0137448757,9105247.197489586,0.9844543264670983,TEJIPIO,9835,4571,4571,0,"2,6"
56,680,CORDEIRO,3394440.8870718996,287606.98842581984,9109657.415714042,3.3944408870718994,CORDEIRO,37660,16252,16241,11,"2,7"
57,876,BARRO,4416325.190031344,284944.2384816148,9104242.39850921,4.416325190031344,BARRO,30565,12864,12860,4,"2,8"
