bairro,populacao,domicilios,v0003,v0004,media_moradores,bairro_key
Recife,541,224,222,2,"2,7",RECIFE
Santo Amaro,27103,11661,11629,32,"2,7",SANTO AMARO
Boa Vista,13147,8328,8266,62,"2,1",BOA VISTA
Soledade,2081,1553,1545,8,"1,9",SOLEDADE
Santo Antônio,447,324,324,0,"2,0",SANTO ANTONIO
Paissandu,568,348,348,0,"2,1",PAISSANDU
Ilha do Leite,990,757,755,2,"2,0",ILHA DO LEITE
Coelhos,5923,2538,2525,13,"2,7",COELHOS
Ilha Joana Bezerra,12257,4766,4765,1,"2,9",ILHA JOANA BEZERRA
Cabanga,1831,835,834,1,"2,7",CABANGA
São José,8876,3906,3898,8,"2,8",SAO JOSE
Derby,1867,865,861,4,"2,5",DERBY
Graças,19694,9071,9065,6,"2,5",GRACAS
Jaqueira,1342,627,627,0,"2,6",JAQUEIRA
Aflitos,4990,2252,2252,0,"2,5",AFLITOS
Espinheiro,10741,5069,5066,3,"2,4",ESPINHEIRO
Rosarinho,7271,3210,3209,1,"2,6",ROSARINHO
Tamarineira,13236,5671,5664,7,"2,6",TAMARINEIRA
Peixinhos,2915,1218,1218,0,"2,8",PEIXINHOS
Campina do Barreto,8757,3508,3508,0,"2,8",CAMPINA DO BARRETO
Arruda,12797,5904,5904,0,"2,8",ARRUDA
Ponto de Parada,2382,1053,1053,0,"2,6",PONTO DE PARADA
Hipódromo,2091,952,952,0,"2,8",HIPODROMO
Campo Grande,31783,13185,13178,7,"2,7",CAMPO GRANDE
Encruzilhada,15249,6868,6853,15,"2,6",ENCRUZILHADA
Torreão,1566,732,731,1,"2,5",TORREAO
Passarinho,24306,9764,9763,1,"2,9",PASSARINHO
Dois Unidos,31437,12580,12576,4,"2,8",DOIS UNIDOS
Linha do Tiro,14202,5622,5622,0,"2,9",LINHA DO TIRO
Beberibe,7089,2936,2936,0,"2,7",BEBERIBE
Alto Santa Terezinha,6620,2611,2611,0,"2,9",ALTO SANTA TEREZINHA
Porto da Madeira,6495,2673,2673,0,"2,7",PORTO DA MADEIRA
Cajueiro,5062,2311,2311,0,"2,7",CAJUEIRO
Fundão,7793,3209,3209,0,"2,8",FUNDAO
Água Fria,39012,15328,15328,0,"2,9",AGUA FRIA
Bomba do Hemetério,7728,3035,3035,0,"2,9",BOMBA DO HEMETERIO
Pau Ferro,89,33,33,0,"3,3",PAU FERRO
Guabiraba,11095,5149,5146,3,"2,8",GUABIRABA
Sítio dos Pintos - São Brás,7996,3656,3655,1,"2,7",SITIO DOS PINTOS - SAO BRAS
Dois Irmãos,3026,1313,1311,2,"2,8",DOIS IRMAOS
Brejo da Guabiraba,10620,4475,4475,0,"2,8",BREJO DA GUABIRABA
Córrego do Jenipapo,8086,3406,3406,0,"2,8",CORREGO DO JENIPAPO
Apipucos,2523,991,990,1,"2,9",APIPUCOS
Macaxeira,20126,7843,7843,0,"2,9",MACAXEIRA
Nova Descoberta,28697,11904,11904,0,"2,8",NOVA DESCOBERTA
Brejo de Beberibe,7738,3234,3234,0,"2,8",BREJO DE BEBERIBE
Alto do Mandu,4221,1697,1696,1,"2,8",ALTO DO MANDU
Casa Amarela,32450,14083,14076,7,"2,6",CASA AMARELA
